judul_berita,url_berita,keyword,page,tanggal_berita,published_at,scraped_at
Politik,https://www.cnnindonesia.com/nasional/politik,purbaya,1,2025-10-01 08:54:33.117656,,2025-10-01 08:54:33.117656+07:00
Hukum & Kriminal,https://www.cnnindonesia.com/nasional/hukum-kriminal,purbaya,1,2025-10-01 08:54:33.239371,,2025-10-01 08:54:33.239371+07:00
Peristiwa,https://www.cnnindonesia.com/nasional/peristiwa,purbaya,1,2025-10-01 08:54:33.359542,,2025-10-01 08:54:33.359542+07:00
Pemilu,https://www.cnnindonesia.com/nasional/pemilu,purbaya,1,2025-10-01 08:54:33.495123,,2025-10-01 08:54:33.495123+07:00
Info Politik,https://www.cnnindonesia.com/nasional/info-politik,purbaya,1,2025-10-01 08:54:33.619115,,2025-10-01 08:54:33.619115+07:00
Asia Pasifik,https://www.cnnindonesia.com/internasional/asia-pasifik,purbaya,1,2025-10-01 08:54:33.763453,,2025-10-01 08:54:33.763453+07:00
Timur Tengah,https://www.cnnindonesia.com/internasional/timur-tengah,purbaya,1,2025-10-01 08:54:33.827967,,2025-10-01 08:54:33.827967+07:00
Eropa Amerika,https://www.cnnindonesia.com/internasional/eropa-amerika,purbaya,1,2025-10-01 08:54:33.941473,,2025-10-01 08:54:33.941473+07:00
Keuangan,https://www.cnnindonesia.com/ekonomi/keuangan,purbaya,1,2025-10-01 08:54:34.016255,,2025-10-01 08:54:34.016255+07:00
Energi,https://www.cnnindonesia.com/ekonomi/energi,purbaya,1,2025-10-01 08:54:34.140314,,2025-10-01 08:54:34.140314+07:00
Bisnis,https://www.cnnindonesia.com/ekonomi/bisnis,purbaya,1,2025-10-01 08:54:34.290608,,2025-10-01 08:54:34.290608+07:00
Corporate Action,https://www.cnnindonesia.com/ekonomi/corporate-action,purbaya,1,2025-10-01 08:54:34.403951,,2025-10-01 08:54:34.403951+07:00
Sepakbola,https://www.cnnindonesia.com/olahraga/sepakbola,purbaya,1,2025-10-01 08:54:34.492935,,2025-10-01 08:54:34.492935+07:00
Moto GP,https://www.cnnindonesia.com/olahraga/moto-gp,purbaya,1,2025-10-01 08:54:34.646249,,2025-10-01 08:54:34.646249+07:00
Teknologi Informasi,https://www.cnnindonesia.com/teknologi/teknologi-informasi,purbaya,1,2025-10-01 08:54:34.766734,,2025-10-01 08:54:34.766734+07:00
Telekomunikasi,https://www.cnnindonesia.com/teknologi/telekomunikasi,purbaya,1,2025-10-01 08:54:34.894467,,2025-10-01 08:54:34.894467+07:00
Climate,https://www.cnnindonesia.com/teknologi/climate,purbaya,1,2025-10-01 08:54:35.028959,,2025-10-01 08:54:35.028959+07:00
E-Vehicle,https://www.cnnindonesia.com/otomotif/e-vehicle,purbaya,1,2025-10-01 08:54:35.147061,,2025-10-01 08:54:35.147061+07:00
Commercial,https://www.cnnindonesia.com/otomotif/commercial,purbaya,1,2025-10-01 08:54:35.264231,,2025-10-01 08:54:35.264231+07:00
Info Otomotif,https://www.cnnindonesia.com/otomotif/info-otomotif,purbaya,1,2025-10-01 08:54:35.381367,,2025-10-01 08:54:35.381367+07:00
Seni Budaya,https://www.cnnindonesia.com/hiburan/seni-budaya,purbaya,1,2025-10-01 08:54:35.446673,,2025-10-01 08:54:35.446673+07:00
Health,https://www.cnnindonesia.com/gaya-hidup/health,purbaya,1,2025-10-01 08:54:35.533862,,2025-10-01 08:54:35.533862+07:00
Travel,https://www.cnnindonesia.com/gaya-hidup/travel,purbaya,1,2025-10-01 08:54:35.795650,,2025-10-01 08:54:35.795650+07:00
Trends,https://www.cnnindonesia.com/gaya-hidup/trends,purbaya,1,2025-10-01 08:54:35.899415,,2025-10-01 08:54:35.899415+07:00
Purbaya Respons Permintaan Bos BGN Tambah Anggaran MBG Rp28 T Ekonomi • 12 jam yang lalu,https://www.cnnindonesia.com/ekonomi/20250929180231-532-1278984/purbaya-respons-permintaan-bos-bgn-tambah-anggaran-mbg-rp28-t,purbaya,1,2025-09-30 20:00:38.000000,2025-09-30 20:00:38+07:00,2025-10-01 08:54:35.986398+07:00
