judul_berita,url_berita,tanggal_berita
"Makin Banyak Gen Z Diprediksi Nganggur, Begini DampaknyaLifestyle5 menit yang lalu",https://www.cnbcindonesia.com/lifestyle/20250926063927-33-670316/makin-banyak-gen-z-diprediksi-nganggur-begini-dampaknya,2025-09-26T00:00:00+07:00
"Catat! 8 Paket Ekonomi di Akhir 2025, Fresh Graduate-Ojol Dapat JatahNews10 menit yang lalu",https://www.cnbcindonesia.com/news/20250926074005-4-670332/catat-8-paket-ekonomi-di-akhir-2025-fresh-graduate-ojol-dapat-jatah,2025-09-26T00:00:00+07:00
"2.267 Warga RI Sudah Ketipu, OJK Kasih PeringatanMarket15 menit yang lalu",https://www.cnbcindonesia.com/market/20250925204735-17-670304/2267-warga-ri-sudah-ketipu-ojk-kasih-peringatan,2025-09-26T00:00:00+07:00
"3 Aplikasi Ini Harus Buru-buru Dihapus dari HP, Berbahaya!Tech21 menit yang lalu",https://www.cnbcindonesia.com/tech/20250926055524-37-670309/3-aplikasi-ini-harus-buru-buru-dihapus-dari-hp-berbahaya,2025-09-26T00:00:00+07:00
"InternasionalKapal Selam Nuklir AS Merapat ke Tetangga RI, Siap Perang Lawan China?News26 menit yang lalu",https://www.cnbcindonesia.com/news/20250926064523-4-670319/kapal-selam-nuklir-as-merapat-ke-tetangga-ri-siap-perang-lawan-china,2025-09-26T00:00:00+07:00
"Malas Sikat Gigi Picu Kanker Pankreas, Mitos atau Fakta?Lifestyle35 menit yang lalu",https://www.cnbcindonesia.com/lifestyle/20250925162955-33-670230/malas-sikat-gigi-picu-kanker-pankreas-mitos-atau-fakta,2025-09-26T00:00:00+07:00
Alasan Purbaya Incar Dana Pemda Rp 233 T yang Nganggur di BankNews40 menit yang lalu,https://www.cnbcindonesia.com/news/20250926070955-4-670323/alasan-purbaya-incar-dana-pemda-rp-233-t-yang-nganggur-di-bank,2025-09-26T00:00:00+07:00
"Laba Merdeka Battery (MBMA) US$ 5,8 Juta Semester I-2025, Turun 71%Market45 menit yang lalu",https://www.cnbcindonesia.com/market/20250925211317-17-670305/laba-merdeka-battery--mbma--us--58-juta-semester-i-2025-turun-71,2025-09-26T00:00:00+07:00
"TikTok Dijual Murah ke Amerika, Harganya Akhirnya BocorTech51 menit yang lalu",https://www.cnbcindonesia.com/tech/20250926053220-37-670308/tiktok-dijual-murah-ke-amerika-harganya-akhirnya-bocor,2025-09-26T00:00:00+07:00
"Harga Emas Naik Tipis, Perak Melesat: Tapi Jangan Bahagia DuluResearch57 menit yang lalu",https://www.cnbcindonesia.com/research/20250926064336-128-670318/harga-emas-naik-tipis-perak-melesat-tapi-jangan-bahagia-dulu,2025-09-26T00:00:00+07:00
InternasionalPanas! Israel Luncurkan Serangan Besar-besaran ke Ibu Kota Negara ArabNews1 jam yang lalu,https://www.cnbcindonesia.com/news/20250926062659-4-670313/panas-israel-luncurkan-serangan-besar-besaran-ke-ibu-kota-negara-arab,2025-09-26T00:00:00+07:00
"13 Makanan Favorit Warga RI yang Tinggi Garam, Bisa Picu StrokeLifestyle1 jam yang lalu",https://www.cnbcindonesia.com/lifestyle/20250925122926-33-670103/13-makanan-favorit-warga-ri-yang-tinggi-garam-bisa-picu-stroke,2025-09-26T00:00:00+07:00
Kemenkeu: Sekolah Rakyat Sedot Anggaran Rp 788 M per September 2025News1 jam yang lalu,https://www.cnbcindonesia.com/news/20250926065153-4-670322/kemenkeu-sekolah-rakyat-sedot-anggaran-rp-788-m-per-september-2025,2025-09-26T00:00:00+07:00
"IHSG Anjlok 1%, Net Sell Tembus Rp 1 Triliun, Saham Ini Jadi SasaranMarket1 jam yang lalu",https://www.cnbcindonesia.com/market/20250925201238-17-670302/ihsg-anjlok-1-net-sell-tembus-rp-1-triliun-saham-ini-jadi-sasaran,2025-09-26T00:00:00+07:00
Bapak Penemu HP Titip Pesan Menusuk Buat Warga RITech1 jam yang lalu,https://www.cnbcindonesia.com/tech/20250926055901-37-670310/bapak-penemu-hp-titip-pesan-menusuk-buat-warga-ri,2025-09-26T00:00:00+07:00
Harga Batu Bara Ikut Terpanggang Duel Sengit AI China Vs AmerkaResearch1 jam yang lalu,https://www.cnbcindonesia.com/research/20250926063011-128-670315/harga-batu-bara-ikut-terpanggang-duel-sengit-ai-china-vs-amerka,2025-09-26T00:00:00+07:00
"Wall Street Belum Keluar dari Zona Merah, Saham Teknologi Jadi BebanMarket1 jam yang lalu",https://www.cnbcindonesia.com/market/20250926062028-17-670312/wall-street-belum-keluar-dari-zona-merah-saham-teknologi-jadi-beban,2025-09-26T00:00:00+07:00
"InternasionalStarbucks Tutup Gerai Massal, Ratusan Karyawan Kena PHKNews1 jam yang lalu",https://www.cnbcindonesia.com/news/20250926060739-4-670311/starbucks-tutup-gerai-massal-ratusan-karyawan-kena-phk,2025-09-26T00:00:00+07:00
NewsletterCobaan Belum Tamat: Kabar Buruk dari AS Menguji IHSG-Rupiah Hari IniResearch1 jam yang lalu,https://www.cnbcindonesia.com/research/20250926004258-128-670306/cobaan-belum-tamat-kabar-buruk-dari-as-menguji-ihsg-rupiah-hari-ini,2025-09-26T00:00:00+07:00
InternasionalPresiden Palestina di PBB: Tak Ada Tempat untuk Hamas di PemerintahanNews2 jam yang lalu,https://www.cnbcindonesia.com/news/20250926054923-4-670307/presiden-palestina-di-pbb-tak-ada-tempat-untuk-hamas-di-pemerintahan,2025-09-26T00:00:00+07:00
"Kemandirian Pertahanan, Sebuah Pelajaran dari SwediaOpini2 jam yang lalu",https://www.cnbcindonesia.com/opini/20250924105117-14-669735/kemandirian-pertahanan-sebuah-pelajaran-dari-swedia,2025-09-26T00:00:00+07:00
"Mesra dengan RI, Ini 10 ""Senjata"" Rahasia Kanada Bisa Taklukkan DuniaResearch2 jam yang lalu",https://www.cnbcindonesia.com/research/20250925124942-128-670113/mesra-dengan-ri-ini-10-senjata-rahasia-kanada-bisa-taklukkan-dunia,2025-09-26T00:00:00+07:00
Makan Bergizi Gratis: Jalan Panjang Menuju Generasi Emas IndonesiaOpini2 jam yang lalu,https://www.cnbcindonesia.com/opini/20250924110427-14-669738/makan-bergizi-gratis-jalan-panjang-menuju-generasi-emas-indonesia,2025-09-26T00:00:00+07:00
UMKM Tonggak Ekonomi: (Bukan) Solusi Satu-satunya Atasi PengangguranOpini2 jam yang lalu,https://www.cnbcindonesia.com/opini/20250924104205-14-669719/umkm-tonggak-ekonomi--bukan--solusi-satu-satunya-atasi-pengangguran,2025-09-26T00:00:00+07:00
"InternasionalRusia Tiba-Tiba Kirim Jet Tempur ke Iran, Bantu Gempur Israel?News10 jam yang lalu",https://www.cnbcindonesia.com/news/20250925155222-4-670212/rusia-tiba-tiba-kirim-jet-tempur-ke-iran-bantu-gempur-israel,2025-09-26T00:00:00+07:00
"InternasionalTetangga RI Geger Geng Judol Internasional, Transaksi Tembus Rp 63 TNews10 jam yang lalu",https://www.cnbcindonesia.com/news/20250925171706-4-670250/tetangga-ri-geger-geng-judol-internasional-transaksi-tembus-rp-63-t,2025-09-26T00:00:00+07:00
InternasionalNgeri! Ibu di Jepang Simpan Mayat Putrinya di Freezer Selama 20 TahunNews10 jam yang lalu,https://www.cnbcindonesia.com/news/20250925172116-4-670251/ngeri-ibu-di-jepang-simpan-mayat-putrinya-di-freezer-selama-20-tahun,2025-09-26T00:00:00+07:00
"InternasionalPetaka Maut Hantam 3 Tetangga RI, Jutaan Dievakuasi-Kota Hancur LumpuhNews10 jam yang lalu",https://www.cnbcindonesia.com/news/20250925130100-4-670114/petaka-maut-hantam-3-tetangga-ri-jutaan-dievakuasi-kota-hancur-lumpuh,2025-09-26T00:00:00+07:00
"InternasionalTrump Tiba-Tiba Siapkan ""Kejutan Besar"" untuk RI Cs, Ini IsinyaNews10 jam yang lalu",https://www.cnbcindonesia.com/news/20250925134208-4-670141/trump-tiba-tiba-siapkan-kejutan-besar-untuk-ri-cs-ini-isinya,2025-09-26T00:00:00+07:00
Purbaya Ancam Ambil Alih Uang Pemda yang Masih Nganggur Ekonomi • 12 jam yang lalu,https://www.cnnindonesia.com/ekonomi/20250925180050-532-1277772/purbaya-ancam-ambil-alih-uang-pemda-yang-masih-nganggur,2025-09-25T19:37:33+07:00
"Luhut: Program MBG Bagus, Tinggal Pengelolaan yang Tertib Ekonomi • 13 jam yang lalu",https://www.cnnindonesia.com/ekonomi/20250925100133-532-1277517/luhut-program-mbg-bagus-tinggal-pengelolaan-yang-tertib,2025-09-25T17:51:44+07:00
