judul_berita,url_berita,tanggal_berita,source_domain,artikel_berita,status,error,tanggal_berita_dt,cluster_id,kategori_isu,cluster_label
Potret Menkeu Sri Mulyani ke Sekolah Rakyat: Main Badminton-Jadi Dirigen,https://www.detik.com/edu/foto/d-8052823/potret-menkeu-sri-mulyani-ke-sekolah-rakyat-main-badminton-jadi-dirigen,2025-08-09T14:15:14+07:00,www.detik.com,"Jakarta - Menteri Keuangan (Menkeu) Sri Mulyani mengunjungi Sekolah Rakyat Menengah 10 Jakarta di Margaguna, Jakarta Selatan. Main badminton hingga jadi dirigen.
Foto Edu
Potret Menkeu Sri Mulyani ke Sekolah Rakyat: Main Badminton-Jadi Dirigen
Sabtu, 09 Agu 2025 14:15 WIB",ok_trafilatura,,2025-08-09 14:15:14+07:00,3,Internasional,Sri Mulyani mengakhiri jabatan sebagai Menteri Keuangan setelah 18 tahun.
"Budi Gunawan dan Hendi Terpental dari Kabinet, Bagaimana Hubungan PDIP-Megawati dengan Prabowo?",https://www.tribunnews.com/nasional/7733131/budi-gunawan-dan-hendi-terpental-dari-kabinet-bagaimana-hubungan-pdip-megawati-dengan-prabowo,2025-09-24T21:27:00+07:00,www.tribunnews.com,"TRIBUNNEWS.COM, JAKARTA - Perombakan kabinet baru-baru ini menimbulkan spekulasi di kalangan pengamat politik terkait hubungan PDIP Perjuangan dan Ketua Umum Megawati Soekarnoputri dengan Presiden Prabowo Subianto.
Perombakan Kabinet Merah Putih beberapa waktu lalu menyasar kader PDI-P, Hendrar Prihadi atau yang akrab disapa Hendi, yang saat itu menjabat Kepala Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP).
Tak hanya Hendi, Prabowo mencopot Budi Gunawan dari posisi Menteri Koordinator Bidang Politik dan Keamanan.
Meski bukan kader PDIP , nama Budi Gunawan kerap dikaitkan dekat dengan PDI-P karena pernah menjadi ajudan Megawati Soekarnoputri ketika menjabat Presiden ke-5 RI.
Sekretaris Jenderal PDI Perjuangan (PDIP), Hasto Kristiyanto sendiri menegaskan, reshuffle atau perombakan kabinet merupakan hak prerogatif Presiden Prabowo Subianto.
""Ya, sejak awal dari hal-hal sejak masa Presiden Joko Widodo (Jokowi) terkait dengan reshuffle juga pada masa Presiden Prabowo , itu adalah prerogatif dari Presiden,"" kata Hasto di Sekolah Partai DPP PDIP , Lenteng Agung, Jakarta, Rabu (24/9/2025).
Hasto menyebut, komunikasi politik antara Presiden Prabowo dan Ketua Umum PDIP , Megawati Soekarnoputri tetap berjalan dengan baik meskipun ada reshuffle. ""Komunikasi politik terus menerus dijalankan secara kondusif, antara Presiden Prabowo dengan Ibu Megawati Soekarnoputri ,"" ujarnya.
Sebelumnya, pada Senin (8/9/2025), Presiden Prabowo Subianto mengumumkan reshuffle kabinet yang mengganti posisi Menko Polkam Budi Gunawan (BG) dengan Jenderal Hor (Purn) Djamari Chaniago.
BG yang sebelumnya menduduki jabatan tersebut kini tidak lagi tercatat dalam susunan kabinet.
Tidak hanya itu, Presiden Prabowo juga mengganti Kepala Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) Hendrar Prihadi atau Hendi pada Rabu (17/9/2025).
Hendi digantikan oleh Sarah Sadiqa yang kini menjabat sebagai Kepala LKPP yang baru.
Belum lama ini, lewat Ketua DPP PDIP Ahmad Basarah, PDIP mengaku menghormati keputusan Presiden Prabowo Subianto yang mengganti Hendrar Prihadi dari jabatan Kepala Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP).
“PDI Perjuangan adalah organisasi partai politik yang sangat menghormati prinsip-prinsip bernegara. Salah satu prinsip bernegara kita adalah kekuasaan eksekutif itu berada di tangan presiden. Karena sekarang presidennya Pak Prabowo Subianto, maka beliaulah yang memiliki wewenang eksekutorial untuk menata kabinetnya atau pembantu-pembantunya di lembaga-lembaga negara kementerian dan nonkementerian,” ujar Basarah di Kompleks Parlemen, Senayan, Jakarta, Kamis (18/9/2025).
Basarah menjelaskan pergantian Hendrar Prihadi yang merupakan kader PDIP dari posisi Kepala LKPP merupakan kewenangan penuh presiden.
Menurutnya, Hendrar atau akrab disapa Hendi juga sudah cukup lama memimpin lembaga tersebut.",ok_site_specific,,2025-09-24 21:27:00+07:00,3,Internasional,Sri Mulyani mengakhiri jabatan sebagai Menteri Keuangan setelah 18 tahun.
"Purbaya Bakal Kejar 200 Penunggak Pajak Jumbo, Negara Bisa Raup Rp60 T Ekonomi • 3 hari yang lalu",https://www.cnnindonesia.com/ekonomi/20250922152248-532-1276405/purbaya-bakal-kejar-200-penunggak-pajak-jumbo-negara-bisa-raup-rp60-t,2025-09-22T15:37:09+07:00,www.cnnindonesia.com,"CNN Indonesia
Senin, 22 Sep 2025 15:37 WIB
Jakarta, CNN Indonesia --
Menteri Keuangan Purbaya Yudhi Sadewa akan mengejar 200 penunggak pajak dalam jumlah besar. Ia mengaku telah mengantongi daftarnya.
""Kita punya lis 200 penunggak pajak besar yang sudah inkracht. Kita mau kejar dan eksekusi. Sekitar Rp50 - Rp60 triliun,"" ujarnya dalam Konferensi Pers APBN KiTA di Kementerian Keuangan, Jakarta Pusat, Senin (22/9).
Purbaya mengatakan pihaknya akan mengejar para penunggak pajak itu,
""Dalam waktu dekat akan kita tagih dan mereka gak akan bisa lari,"" imbuhnya.
Dalam kesempatan itu, Purbaya melaporkan Anggaran Pendapatan dan Belanja Negara (APBN) defisit Rp321,6 triliun atau 1,35 persen dari PDB per Agustus 2025.
""Ini realisasi APBN sampai 31 Agustus 2025. Pendapatan negara Rp1.638,7 triliun. Itu 57 persen terhadap outlooknya,"" ungkapnya.
Defisit ini terjadi imbas pendapatan yang baru mencapai Rp1.638,7 triliun. Uang yang masuk ke kas negara itu menyentuh 57,2 persen dari target di APBN 2025.
Pendapatan negara dikantongi dari penerimaan pajak sebesar Rp1.330 triliun dan kepabeanan serta cukai senilai Rp122,9 triliun.
Di lain sisi, ada pemasukan dari pendapatan negara bukan pajak (PNBP) senilai Rp306,8 triliun per 31 Agustus 2025.
Sementara itu, Pemerintah Indonesia membelanjakan uang lebih besar senilai Rp1.960,3 triliun. Jumlah tersebut setara 55,6 persen dari pagu anggaran yang tersedia.
Masalah tunggakan pajak pengusaha ini sebelumnya juga pernah diungkap adik Presiden Prabowo Subianto sekaligus Wakil Ketua Dewan Pembina Partai Gerindra Hashim Djojohadikusumo.
Hashim mengungkapkan sebanyak 300 pengusaha Indonesia diduga mengemplang pajak hingga mencapai Rp300 triliun.
Prabowo, kata Hashim, mengantongi data pengusaha itu dari Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan serta Kepala Badan Pengawasan Keuangan dan Pembangunan (BPKP) Muhammad Yusuf Ateh. Sebagian besar pengusaha itu berasal dari sektor sawit.
""Ini data yang Pak Prabowo dapat dari Luhut dan Ateh (BPKP) dan dikonfirmasi dari LHK ada jutaan hektar kawasan hutan diokupasi liar oleh pengusaha kebun sawit nakal ternyata sudah diingatkan tapi sampai sekarang belum bayar,"" kata Hashim dalam acara Diskusi Ekonomi Kamar Dagang dan Industri bersama Pengusaha Internasional Senior di Menara Kadin, dikutip dari CNBC Indonesia, Senin (7/10/2024) lalu.
(fby/sfr) TOPIK TERKAIT
ARTIKEL
TERKAIT
TERKAIT
LAINNYA DI DETIKNETWORK",ok_trafilatura,,2025-09-22 15:37:09+07:00,0,Kemenkeu,Pemerintah kejar penunggak pajak besar dan kaji stagnansi rasio pajak.
12:40 VIDEO: Air Mata dan Nyanyian Pegawai Kemenkeu Lepas Sri Mulyani TV • 2 minggu yang lalu,https://www.cnnindonesia.com/tv/20250909165335-400-1271768/video-air-mata-dan-nyanyian-pegawai-kemenkeu-lepas-sri-mulyani,2025-09-09T17:03:02+07:00,www.cnnindonesia.com,"CNN Indonesia TV | CNN Indonesia
Selasa, 09 Sep 2025 17:03 WIB
Jakarta, CNN Indonesia --
Suasana haru mewarnai pelepasan Sri Mulyani Indrawati (SMI) dari jabatan menteri keuangan yang sudah diemban selama 18 tahun. Baik Sri Mulyani maupun para pegawai tidak sanggup menahan air mata dalam momen ini.
Sri Mulyani digantikan oleh Purbaya Yudhi Sadewa yang dilantik oleh Presiden Prabowo sebagai menteri keuangan yang baru pada hari Senin (8/9).
TOPIK TERKAIT
VIDEO TERKAIT
VIDEO TERBARU
TITLE",ok_trafilatura,,2025-09-09 17:03:02+07:00,3,Internasional,Sri Mulyani mengakhiri jabatan sebagai Menteri Keuangan setelah 18 tahun.
Mengurai Stagnansi Rasio Pajak Indonesia,https://finance.detik.com/foto-bisnis/d-7922033/mengurai-stagnansi-rasio-pajak-indonesia,2025-05-19T19:15:12+07:00,finance.detik.com,"Jakarta - Ikatan Konsultan Pajak Indonesia menggelar diskusi dengan mengangkat tema "" Membedah Stagnansi Tax Ratio Indonesia Masalah Struktural, Teknis, Atau Ekonomi?""
Foto Bisnis
Mengurai Stagnansi Rasio Pajak Indonesia
Senin, 19 Mei 2025 19:15 WIB",ok_trafilatura,,2025-05-19 19:15:12+07:00,0,Kemenkeu,Pemerintah kejar penunggak pajak besar dan kaji stagnansi rasio pajak.
"Dana Bagi Hasil ke Daerah APBN 2022 Naik Rp47,2 T Ekonomi • 3 tahun yang lalu",https://www.cnnindonesia.com/ekonomi/20220519173747-532-798686/dana-bagi-hasil-ke-daerah-apbn-2022-naik-rp472-t,2022-05-20T09:30:45+07:00,www.cnnindonesia.com,"CNN Indonesia
Jumat, 20 Mei 2022 09:30 WIB
Jakarta, CNN Indonesia --
Badan Anggaran (Banggar) DPR RI menyetujui usulan kenaikan pagu Dana Bagi Hasil (DBH) dari pemerintah pusat ke daerah sebesar Rp47,2 triliun dalam Anggaran Pendapatan dan Belanja Negara (APBN) 2022.
""Banggar DPR menyetujui tambahan DBH sebesar Rp47,2 triliun,"" ungkap Ketua Banggar DPR Said Abdullah saat rapat bersama Menteri Keuangan Sri Mulyani di Gedung DPR/MPR, Kamis (18/5).
Dengan persetujuan ini, maka pagu DBH akan meningkat dari Rp105,26 triliun menjadi Rp152,46 triliun. Said mengatakan penambahan anggaran ini disetujui karena Banggar juga sudah memberi restu terhadap usulan kenaikan belanja negara secara keseluruhan.
Pemerintah mengusulkan belanja negara naik sebesar Rp392,3 triliun dari Rp2.714,2 triliun menjadi Rp3.106,4 triliun di APBN 2022.
Kenaikan belanja terjadi karena pemerintah mengestimasi pendapatan negara juga bakal meningkat sekitar Rp420,1 triliun dari Rp1.846,1 triliun menjadi Rp2.266,2 triliun.
""Peningkatan ini berkonsekuensi terhadap peningkatan alokasi transfer ke daerah yang bersumber dari DBH,"" terang Said.
Untuk itu, sejalan dengan kenaikan belanja, maka DBH pun bakal naik.
""Peningkatan DBH tersebut telah mempertimbangkan burden sharing antara pemerintah pusat dan daerah terkait peningkatan belanja subsidi BBM dan LPG,"" tuturnya.
Sri Mulyani menambahkan peningkatan pendapatan negara tidak hanya akan disalurkan ke DBH, tapi juga pos-pos belanja lain. Mulai dari subsidi energi, dana kompensasi energi, bantuan sosial (bansos), dan anggaran pendidikan.
(uli/aud) TOPIK TERKAIT
ARTIKEL
TERKAIT
TERKAIT
LAINNYA DI DETIKNETWORK",ok_trafilatura,,2022-05-20 09:30:45+07:00,5,Nasional,DPR setujui anggaran triliunan rupiah untuk berbagai program pemerintah.
"Modal Positif Timnas Indonesia Jelang Round 4, Ole Romeny Comeback dari Cedera",https://www.tribunnews.com/superskor/7733110/modal-positif-timnas-indonesia-jelang-round-4-ole-romeny-comeback-dari-cedera,2025-09-24T20:37:00+07:00,www.tribunnews.com,"TRIBUNNEWS.COM - Timnas Indonesia mendapatkan angin segar jelang berlaga di ronde 4 Kualifikasi Piala Dunia 2026 zona Asia.
Bomber Timnas Indonesia , Ole Romeny comeback berlatih setelah menjalani pemulihan dari cedera.
Tentu saja hal ini menjadi kabar baik bagi Timnas Indonesia untuk menjaga mimpi lolos ke Piala Dunia 2026 .
Seperti diketahui, Ole Romeny mengalami cedera cukup lama setelah membela Oxford United di Piala Presiden 2025 pada bulan Juli lalu.
Kala itu, Ole Romeny cedera setelah kakinya diinjak oleh gelandang Arema FC, yakni Paulinho.
Hal itu membuat Ole Romeny harus menyudahi pramusim bersama Oxford dan menjalani prosedur operasi membuatnya absen hingga saat ini.
Bahkan, kondisi mengkhawatirkan dari Ole membuat dirinya sempat terancam absen membela Timnas Indonesia di ronde keempat Kualifikasi Piala Dunia 2026 zona Asia.
Namun kini Timnas Indonesia mendapat kabar baik dari Ole Romeny jelang ronde keempat.
Pasalnya, Ole Romeny sudah pulih dari cedera dan telah kembali berlatih di Amsterdam, Belanda.
Kabar baik ini disampaikan Ole Romeny melalui unggahan Instagram Story sang pemain pada, Rabu (24/9/2025).
Tampak Ole Romeny mengunggah video dirinya sudah kembali latihan di lapangan bersama pelatih fisik Timnas Indonesia , Quentin Jakoba .
Ole tampak fokus berlatih sendiri dan menjalani menu latihan yang diberikan Quentin Jakoba dengan baik.
Kabar ini tentu menjadi angin segar bagi Timnas Indonesia jelang berlaga di ronde keempat Kualifikasi Piala Dunia 20226 zona Asia pada bulan depan.
Di ajang tersebut, Timnas Indonesia tergabung dalam Grup B melawan Arab Saudi dan Qatar.
Di laga pertama, Timnas Indonesia akan menantang Arab Saudi di King Abdullah Sports City Stadium, pada Kamis, 9 Oktober 2025 pukul 00.15 WIB.",ok_site_specific,,2025-09-24 20:37:00+07:00,1,Nasional,Timnas Indonesia siap hadapi ronde keempat kualifikasi Piala Dunia 2026.
"Minta Cukai Tidak Naik, Pengusaha Singgung Masalah Daya Beli",https://finance.detik.com/berita-ekonomi-bisnis/d-8099971/minta-cukai-tidak-naik-pengusaha-singgung-masalah-daya-beli,2025-09-07T15:30:43+07:00,finance.detik.com,"Asosiasi Pengusaha Indonesia (APINDO) menyambut baik dan menyampaikan apresiasi terkait komitmen pemerintah melalui Kementerian Keuangan memastikan tidak akan ada penerapan tarif pajak baru maupun kenaikan tarif pajak yang sudah ada pada 2026. Namun, pengusaha juga berharap hal itu juga berlaku pada cukai di tahun depan.
Ketua Umum APINDO, Shinta W Kamdani menilai bagi dunia usaha, keberpihakan dan kepastian kebijakan pajak merupakan faktor penting dalam menjaga iklim investasi, stabilitas usaha, dan mendorong pertumbuhan ekonomi. Menurutnya, berfokus pada optimalisasi pemungutan pajak melalui peningkatan kepatuhan dan perbaikan mekanisme kepatuhan menjadi langkah lebih tepat dibanding menambah beban dunia usaha dan masyarakat dengan pajak baru maupun kenaikan tarif pajak yang telah ada.
Ia pun menyoroti perlunya perhatian khusus untuk mengurangi tekanan pada sektor padat karya, khususnya industri makanan, minuman, dan hasil tembakau yang saat ini menghadapi beban ganda dari rencana kenaikan tarif cukai dan penerapan cukai baru. Shinta menyebut sektor padat karya ini bukan hanya menjadi kontributor penting bagi penerimaan negara, tetapi juga penopang utama stabilitas lapangan kerja.
SCROLL TO CONTINUE WITH CONTENT
""Jika kebijakan kenaikan maupun penerapan cukai baru dilakukan tanpa mempertimbangkan kondisi riil industri padat karya, maka risiko pelemahan daya saing dan tergerusnya kesempatan kerja akan semakin besar. Padahal justru sektor ini yang selama ini menopang penerimaan negara dan menyerap jutaan tenaga kerja,"" ujar Shinta dalam keterangannya, Minggu (7/9/2025).
Shinta berharap kebijakan tidak adanya kenaikan pajak dan pajak baru juga mencakup cukai, mengingat cukai juga tergolong penerimaan perpajakan. Ia sebelumnya juga memberikan sejumlah masukan konstruktif di sektor perpajakan, khususnya terkait intensifikasi dan ekstensifikasi pajak harus dilakukan secara adil dan menciptakan level playing of field yang sama. Terutama bagi wajib pajak (WP) yang sudah patuh, peningkatan efisiensi dan kepastian dalam proses restitusi pajak, yang sangat dibutuhkan dunia usaha untuk menjaga likuiditas dan mendorong roda perekonomian nasional.
Selain itu, dunia usaha mendorong adanya insentif tenaga kerja, energi, dan logistik yang lebih berpihak pada sektor padat karya. Usulan mencakup percepatan restitusi PPN, skema diskon listrik LWBP, penurunan harga gas industri, insentif energi terbarukan, dukungan pembiayaan kredit, hingga perluasan cakupan dari PPh 21 ditanggung pemerintah (DTP) serta insentif fiskal dan non fiskal lainnya. Dukungan menyeluruh ini diyakini akan memberi nafas baru bagi industri padat karya, memperkuat ketahanan usaha, dan menjaga stabilitas lapangan kerja nasional di tengah dinamika global dan tekanan domestik.
""Dengan kebijakan yang konsisten, aplikatif, dan implementasi yang efektif, APINDO percaya optimalisasi penerimaan negara dapat berjalan beriringan dengan peningkatan iklim usaha dan penciptaan lapangan kerja di tengah situasi yang dinamis,"" jelasnya.
Pihaknya mendukung upaya pemerintah dalam memperluas basis pajak dengan memetakan shadow ekonomi (aktivitas ekonomi yang di luar pantauan resmi otoritas pajak), meningkatkan kualitas administrasi perpajakan, serta memperbaiki layanan kepada wajib pajak agar kepatuhan meningkat secara sukarela. Ia menyatakan dunia usaha pada prinsipnya siap berkolaborasi dengan pemerintah untuk memastikan target penerimaan negara dapat tercapai tanpa mengurangi daya saing dan keberlanjutan usaha.
Sebelumnya, Menteri Keuangan Sri Mulyani Indrawati memastikan tidak ada pemberlakuan pajak baru maupun kenaikan tarif pajak di 2026. Meskipun target pendapatan negara naik 9,8% menjadi Rp 3.147,7 triliun, yang sumbernya paling besar dari penerimaan pajak yakni Rp 2.357,7 triliun atau tumbuh 13,5%.
""Karena kebutuhan negara dan bangsa begitu banyak, maka pendapatan negara terus ditingkatkan tanpa ada kebijakan-kebijakan baru. Sering dalam hal ini dari media disampaikan seolah-olah upaya untuk meningkatkan pendapatan, kita menaikkan pajak. Padahal pajaknya tetap sama,"" kata Sri Mulyani dalam rapat kerja dengan DPD RI secara virtual, Selasa (2/9/2025).
Sri Mulyani menyebut pihaknya akan fokus dari sisi kepatuhan untuk meningkatkan penerimaan pajak. Dalam hal ini bagi mereka yang mampu dan berkewajiban membayar pajak tetap membayar pajak dengan mudah dan patuh, sementara yang tidak mampu dan masih lemah akan dibantu secara maksimal.",ok_site_specific,,2025-09-07 15:30:43+07:00,0,Kemenkeu,Pemerintah kejar penunggak pajak besar dan kaji stagnansi rasio pajak.
"Otoritas IKN Minta Tambahan Anggaran Rp3,1 T untuk Ibu Kota Baru Ekonomi • 2 tahun yang lalu",https://www.cnnindonesia.com/ekonomi/20230918181231-92-1000579/otoritas-ikn-minta-tambahan-anggaran-rp31-t-untuk-ibu-kota-baru,2023-09-18T18:20:29+07:00,www.cnnindonesia.com,"CNN Indonesia
Senin, 18 Sep 2023 18:20 WIB
Jakarta, CNN Indonesia --
Kepala Otorita IKN Nusantara Bambang Susantono meminta tambahan anggaran Rp3,15 triliun ke Badan Anggaran (Banggar) DPR RI.
Angka tersebut mengalami peningkatan yang signifikan dibandingkan dengan alokasi sebelumnya yang hanya sebesar Rp434 miliar.
""Kalau kita lihat, untuk semua hal ini kami masih membutuhkan beberapa hal yang tidak termasuk di dalam anggaran yang Rp434 miliar yang kami sampaikan,"" kata Bambang dalam rapat kerja bersama Banggar DPR, Senin (18/9), mengutip Antara.
Bambang menjelaskan usulan tambahan anggaran tersebut memiliki alokasi yang spesifik untuk berbagai bidang. Di antaranya, Sekretariat Otorita IKN dengan anggaran sebesar Rp182,86 miliar untuk pembayaran tunjangan 350 orang aparatur sipil negara (ASN) IKN.
Selain itu, Rp2,11 triliun akan digunakan oleh Kedeputian Bidang Sarana dan Prasarana untuk pembangunan infrastruktur IKN.
Menurut Bambang, belum ada alokasi untuk pembangunan tower rumah susun untuk ASN IKN dan juga operasional pemeliharaan hunian bagi pekerja konstruksi sebelumnya.
Kemudian, Kedeputian bidang Transformasi Hijau dan Digital bakal menggunakan anggaran sebesar Rp466,64 miliar untuk pembangunan yang bersifat digital.
""Indonesia sebagai kota cerdas, karena kalau kita ingin tahun depan itu kita mulai dengan semuanya serba digital, tentu ada hal-hal yang kita juga ingin ajukan di sini untuk sistem, untuk peralatan, dan sebagainya, sehingga nantinya semua pelayanan di Indonesia kita mulai dengan pelayanan layaknya sebagai smart city, seperti itu,"" lanjut Bambang.
Sementara itu, Kedeputian Bidang Lingkungan Hidup dan Sumber Daya Alam memerlukan anggaran senilai Rp387,6 miliar untuk pembangunan bidang lingkungan hidup sebagai antisipasi bencana alam.
""Kalau ada nanti misalnya pengendalian kebakaran hutan, dan sebagainya. Dan juga reforestasi, penghutanan kembali dari beberapa area yang memang kita programkan untuk menjadi hutan tropis Kalimantan,"" jelas dia lebih lanjut.
Hal itu menjadi dasar bagi Otorita IKN untuk mengajukan tambahan anggaran, meskipun anggaran awal sudah mencakup sejumlah aspek.
Melalui usulan ABT 2024 tersebut, ia berharap kawasan IKN dapat terus berkembang sebagai pusat transformasi hijau dan digital yang berkelanjutan, serta berperan dalam perlindungan lingkungan hidup dan sumber daya alam.
Penambahan anggaran yang diajukan tersebut diharapkan dapat membantu mewujudkan visi dan misi Otorita IKN untuk masa depan yang lebih baik.
(del/agt) TOPIK TERKAIT
ARTIKEL
TERKAIT
TERKAIT
LAINNYA DI DETIKNETWORK",ok_trafilatura,,2023-09-18 18:20:29+07:00,5,Nasional,DPR setujui anggaran triliunan rupiah untuk berbagai program pemerintah.
Proyek LRT Fase 2A Akan Dilanjutkan Tahun Depan Ekonomi • 2 tahun yang lalu,https://www.cnnindonesia.com/ekonomi/20221104150012-92-869578/proyek-lrt-fase-2a-akan-dilanjutkan-tahun-depan,2022-11-04T17:56:23+07:00,www.cnnindonesia.com,"CNN Indonesia
Jumat, 04 Nov 2022 17:56 WIB
Jakarta, CNN Indonesia --
[Gambas:Video CNN]
Proyek Light Rail Transit (LRT) Jakarta untuk Fase 2A dipastikan berlanjut pada 2023 setelah Badan Anggaran (Banggar) DPRD DKI menyetujui usulan pemberian Penyertaan Modal Daerah (PMD) sebesar Rp442 miliar kepada PT Jakarta Propertindo (Jakpro).
Pelaksana Tugas (Plt) Kepala Badan Pembinaan Badan Usaha Milik Daerah (BP BUMD) Fitria Rahadiani mengungkapkan nilai usulan atas proyek yang akan menghubungkan Velodrome dengan Manggarai itu belum final karena belum dibahas lebih dalam dan dibawa ke rapat paripurna DPRD.
""Jadi kan nilai itu diungkap dalam rapat Banggar yang membahas rancangan KUA-PPAS APBD 2023 pada Kamis (3/11) kemarin, dan nanti dibahas lagi dalam forum APBD (rapat komisi) kemudian finalnya di paripurna,"" kata Fitria di Jakarta, dikutip dari Antara, Jumat (4/11).
Karenanya, nilai tersebut kemungkinan akan mengalami perubahan karena detil soal PMD bagi proyek LRT tersebut masih akan dibahas dengan menyesuaikan postur anggaran yang dimiliki Pemprov DKI Jakarta.
""Nanti kan makanya kita lihat postur anggarannya seperti apa di Pemprov kan itu pengaruh ke pendapatan sama belanjanya. Itu nanti sisanya buat pembiayaan,"" katanya.
Setelah rapat paripurna DPRD, usulan anggaran DKI Jakarta dengan berbagai PMD di dalamnya, termasuk soal proyek LRT akan diserahkan ke Kementerian Dalam Negeri untuk mendapat persetujuan.
Di sisi lain, Asisten Perekonomian dan Keuangan Sekretariat Derah (Setda) DKI Jakarta Sri Haryati menyebut sebelumnya kepastian proyek LRT apakah akan dilanjutkan atau tidak masih abu-abu.
Pasalnya, Kementerian Perhubungan (Kemenhub) awalnya tak menyetujui pembangunan trek Fase 2A.
""Tetapi, kemarin sudah diputuskan, dititip, langsung oleh Bapak Presiden bahwa nanti (pembangunan trek LRT) dari Velodrome langsung ke Manggarai,"" ucapnya di Hotel Cempaka.
[Gambas:Video CNN]
ARTIKEL
TERKAIT
TERKAIT
LAINNYA DI DETIKNETWORK",ok_trafilatura,,2022-11-04 17:56:23+07:00,5,Nasional,DPR setujui anggaran triliunan rupiah untuk berbagai program pemerintah.
