judul_berita,penulis_berita,url_berita,media_online,tanggal_berita_dt,top_keyword,lex_match,fuzz_score,embed_sim,relevance_score,is_relevant,karakter_count,judul_berita_bersih,kategori_isu,score_kemenkeu,score_nasional,score_lainnya_hint,matched_terms,score_detail,label_reason
Bos BSI Buka Suara Soal Titipan Dana Rp10 Triliun dari Menkeu Purbaya,Trio Hamdani,https://www.idntimes.com/business/economy/bos-bsi-buka-suara-soal-titipan-dana-rp10-triliun-dari-menkeu-purbaya-00-bvq5c-wn60ws,idn_times,2025-09-22 15:30:00+07:00,suntikan dana rp200 triliun,0.0,0.479,0.799,0.623,True,69,bos bsi buka suara soal titipan dana rp10 triliun dari menkeu purbaya,Isu Kemenkeu,12,0,0,"{'kemenkeu': ['\\bmenkeu\\b', '\\b(purbaya yudhi|purbaya)\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bmenkeu\\b': 6, '\\b(purbaya yudhi|purbaya)\\b': 6}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
"Menkeu Purbaya: APBN Agustus 2025 Defisit Rp 321,6 Triliun",,https://www.tribunnews.com/bisnis/7731942/menkeu-purbaya-apbn-agustus-2025-defisit-rp-3216-triliun,tribunnews,2025-09-22 15:22:00+07:00,suntikan dana rp200 triliun,0.0,0.424,0.803,0.609,True,58,"menkeu purbaya: apbn agustus 2025 defisit rp 321,6 triliun",Isu Kemenkeu,22,0,0,"{'kemenkeu': ['\\bmenkeu\\b', '\\b(purbaya yudhi|purbaya)\\b', '\\bapbn\\b', '\\bpembiayaan utang\\b|\\butang negara\\b|\\bdefisit\\b|\\bdefisit anggaran\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bmenkeu\\b': 6, '\\b(purbaya yudhi|purbaya)\\b': 6, '\\bapbn\\b': 6, '\\bpembiayaan utang\\b|\\butang negara\\b|\\bdefisit\\b|\\bdefisit anggaran\\b': 4}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
"Purbaya Laporkan Defisit APBN Rp 321,6 T di Akhir Agustus 2025News1 jam yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/news/20250922144808-4-669128/purbaya-laporkan-defisit-apbn-rp-3216-t-di-akhir-agustus-2025,cnbc,2025-09-22 00:00:00+07:00,defisit apbn,1.0,0.258,0.679,0.585,True,81,"purbaya laporkan defisit apbn rp 321,6 t di akhir agustus 2025",Isu Kemenkeu,16,0,0,"{'kemenkeu': ['\\b(purbaya yudhi|purbaya)\\b', '\\bapbn\\b', '\\bpembiayaan utang\\b|\\butang negara\\b|\\bdefisit\\b|\\bdefisit anggaran\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\b(purbaya yudhi|purbaya)\\b': 6, '\\bapbn\\b': 6, '\\bpembiayaan utang\\b|\\butang negara\\b|\\bdefisit\\b|\\bdefisit anggaran\\b': 4}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
"BRI Salurkan KPR Subsidi Rp14,65 Triliun, Dukung Program Tiga Juta Rumah dan Asta Cita Pem...",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164785/bri-salurkan-kpr-subsidi-rp1465-triliun-dukung-program-tiga-juta-rumah-dan-asta-cita-pemerintah,liputan6,2025-09-21 12:36:04+07:00,suntikan dana rp200 triliun,0.0,0.283,0.8,0.565,True,93,"bri salurkan kpr subsidi rp14,65 triliun, dukung program tiga juta rumah dan asta cita pem",Isu Lainnya,3,0,0,"{'kemenkeu': ['\\bsubsidi\\b|\\bkompensasi\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bsubsidi\\b|\\bkompensasi\\b': 3}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"200 Orang Tunggak Pajak Rp 60 Triliun, Purbaya: Mereka Tak Bisa Lari!News28 menit yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/news/20250922151312-4-669149/200-orang-tunggak-pajak-rp-60-triliun-purbaya-mereka-tak-bisa-lari,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.288,0.796,0.564,True,91,"200 orang tunggak pajak rp 60 triliun, purbaya: mereka tak bisa lari!",Isu Kemenkeu,11,0,0,"{'kemenkeu': ['\\b(purbaya yudhi|purbaya)\\b', '\\bpajak\\b|\\bppn\\b|\\bpajak penghasilan\\b|\\bpbb\\b|\\bpajak daerah\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\b(purbaya yudhi|purbaya)\\b': 6, '\\bpajak\\b|\\bppn\\b|\\bpajak penghasilan\\b|\\bpbb\\b|\\bpajak daerah\\b': 5}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
"Bursa CFX Raup Transaksi Derivatif Kripto Rp73,8 Triliun, Dominasi Pasar Kian Kuat",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165291/bursa-cfx-raup-transaksi-derivatif-kripto-rp738-triliun-dominasi-pasar-kian-kuat,liputan6,2025-09-22 11:02:35+07:00,suntikan dana rp200 triliun,0.0,0.33,0.769,0.56,True,82,"bursa cfx raup transaksi derivatif kripto rp73,8 triliun, dominasi pasar kian kuat",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Dapat Suntikan Rp 10 T dari Purbaya, Ini Respons Bos BSI (BRIS)Market4 menit yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/market/20250922154251-17-669160/dapat-suntikan-rp-10-t-dari-purbaya-ini-respons-bos-bsi--bris-,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.319,0.764,0.554,True,86,"dapat suntikan rp 10 t dari purbaya, ini respons bos bsi (bris)",Isu Kemenkeu,6,0,0,"{'kemenkeu': ['\\b(purbaya yudhi|purbaya)\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\b(purbaya yudhi|purbaya)\\b': 6}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
"Serap Investasi Rp 6,5 Triliun, KEK Sei Mangkei Kini Jadi Pusat Hilirisasi Sawit",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164782/serap-investasi-rp-65-triliun-kek-sei-mangkei-kini-jadi-pusat-hilirisasi-sawit,liputan6,2025-09-21 12:30:46+07:00,suntikan dana rp200 triliun,0.0,0.299,0.764,0.548,False,80,"serap investasi rp 6,5 triliun, kek sei mangkei kini jadi pusat hilirisasi sawit",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"BRI Optimistis Perluas Akses Hunian, Salurkan KPR Subsidi Rp14,65 Triliun hingga Agustus 2...",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164790/bri-optimistis-perluas-akses-hunian-salurkan-kpr-subsidi-rp1465-triliun-hingga-agustus-2025,liputan6,2025-09-21 13:00:00+07:00,suntikan dana rp200 triliun,0.0,0.3,0.759,0.545,False,93,"bri optimistis perluas akses hunian, salurkan kpr subsidi rp14,65 triliun hingga agustus 2",Isu Lainnya,3,0,0,"{'kemenkeu': ['\\bsubsidi\\b|\\bkompensasi\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bsubsidi\\b|\\bkompensasi\\b': 3}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Dukung Iklim Investasi, Kemnaker Terus Tingkatkan Layanan Perizinan TKA",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165513/dukung-iklim-investasi-kemnaker-terus-tingkatkan-layanan-perizinan-tka,liputan6,2025-09-22 14:53:01+07:00,suntikan dana rp200 triliun,0.0,0.347,0.728,0.541,False,71,"dukung iklim investasi, kemnaker terus tingkatkan layanan perizinan tka",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
